Date,Time,Temp,Battery,DO Conc,DO%
M/D/Y,hh:mm:ss,C,V,mg/L,%
08/15/09,17:50,11.36,5.9,18.21,166.7
08/15/09,18:00,11.2,5.9,16.01,145.9
08/15/09,18:10,11.4,5.9,18.48,169.2
08/15/09,18:20,11.37,5.9,18.5,169.3
08/15/09,18:30,11.66,5.9,19.19,176.8
08/15/09,18:40,12.15,5.9,19.72,183.7
08/15/09,18:50,11.64,5.9,19.37,178.4
08/15/09,19:00,11.45,5.9,18.79,172.3
08/15/09,19:10,11.42,5.9,18.83,172.5
08/15/09,19:20,11.23,5.9,14.19,129.5
08/15/09,19:30,11.52,5.9,17.66,162.2
08/15/09,19:40,11.09,5.9,14.43,131.2
08/15/09,19:50,11.27,5.9,17.27,157.7
08/15/09,20:00,11.64,5.9,18.77,172.9
08/15/09,20:10,12.09,5.9,19.76,183.8
08/15/09,20:20,11.91,5.9,20,185.3
08/15/09,20:30,11.64,5.9,19.39,178.6
08/15/09,20:40,11.42,5.9,18.81,172.4
08/15/09,20:50,11.07,5.9,15.71,142.8
08/15/09,21:00,11.18,5.9,15.25,139
08/15/09,21:10,11.48,5.8,18.33,168.2
08/15/09,21:20,11.87,5.8,19.17,177.5
08/15/09,21:30,11.92,5.9,19.24,178.3
08/15/09,21:40,11.45,5.9,18.84,172.7
08/15/09,21:50,11.15,5.8,16.69,152
08/15/09,22:00,11.23,5.9,16.16,147.4
08/15/09,22:10,11.31,5.8,16.26,148.6
08/15/09,22:20,11.57,5.9,18.61,171.1
08/15/09,22:30,11.5,5.9,18.85,173
08/15/09,22:40,11.59,5.8,18.98,174.6
08/15/09,22:50,11.7,5.9,19.36,178.6
08/15/09,23:00,11.81,5.9,19.25,178
08/15/09,23:10,11.61,5.8,19.06,175.5
08/15/09,23:20,11.56,5.9,19.05,175.1
08/15/09,23:30,11.55,5.9,18.5,170
08/15/09,23:40,11.34,5.8,17.88,163.6
08/15/09,23:50,11.37,5.9,17.7,162
08/16/09,0:00,11.49,5.9,18.57,170.4
08/16/09,0:10,11.49,5.9,18.36,168.5
08/16/09,0:20,11.41,5.9,18.07,165.6
08/16/09,0:30,11.42,5.8,17.4,159.4
08/16/09,0:40,11.43,5.8,17.54,160.7
08/16/09,0:50,11.39,5.8,17.67,161.8
08/16/09,1:00,11.46,5.8,18.24,167.3
08/16/09,1:10,11.51,5.8,18.44,169.3
08/16/09,1:20,11.43,5.8,18.58,170.2
08/16/09,1:30,11.35,5.9,17.59,160.9
08/16/09,1:40,11.42,5.8,17.82,163.3
08/16/09,1:50,11.47,5.8,18.53,170
08/16/09,2:00,11.46,5.8,18.12,166.2
08/16/09,2:10,11.6,5.8,18.7,172.1
08/16/09,2:20,11.63,5.9,18.76,172.8
08/16/09,2:30,11.55,5.8,18.43,169.4
08/16/09,2:40,11.36,5.8,17.44,159.6
08/16/09,2:50,11.34,5.8,17.5,160
08/16/09,3:00,11.37,5.8,17.77,162.7
08/16/09,3:10,11.54,5.8,18.12,166.4
08/16/09,3:20,11.67,5.8,18.47,170.2
08/16/09,3:30,11.7,5.8,18.43,169.9
08/16/09,3:40,11.57,5.8,18.4,169.2
08/16/09,3:50,11.5,5.8,18,165.2
08/16/09,4:00,11.33,5.8,17.44,159.4
08/16/09,4:10,11.52,5.8,17.85,164
08/16/09,4:20,11.46,5.8,17.45,160
08/16/09,4:30,11.53,5.8,17.73,162.8
08/16/09,4:40,11.29,5.8,17.47,159.6
08/16/09,4:50,11.48,5.8,17.91,164.3
08/16/09,5:00,11.54,5.8,17.94,164.8
08/16/09,5:10,11.5,5.7,18.02,165.4
08/16/09,5:20,11.49,5.8,18.14,166.5
08/16/09,5:30,11.48,5.8,17.76,163
08/16/09,5:40,11.44,5.8,17.28,158.4
08/16/09,5:50,11.42,5.8,17.54,160.7
08/16/09,6:00,11.44,5.7,17.16,157.3
08/16/09,6:10,11.62,5.8,18,165.7
08/16/09,6:20,11.68,5.8,18.13,167.2
08/16/09,6:30,11.51,5.8,17.6,161.6
08/16/09,6:40,11.43,5.8,17.75,162.7
08/16/09,6:50,11.41,5.7,17.18,157.4
08/16/09,7:00,11.43,5.8,17.18,157.4
08/16/09,7:10,11.47,5.8,17.39,159.5
08/16/09,7:20,11.53,5.7,17.43,160.1
08/16/09,7:30,11.4,5.7,17.38,159.2
08/16/09,7:40,11.54,5.7,17.54,161.2
08/16/09,7:50,11.43,5.7,17.23,157.9
08/16/09,8:00,11.34,5.8,17.31,158.3
08/16/09,8:10,11.46,5.7,17.25,158.2
08/16/09,8:20,11.51,5.8,17.47,160.4
