  Date        	Time        	Fo	Fm	Blank	Fv	Yield

Configuration: Ward12

04/23/12	16:55:00	3168	4109	672	941	0.229
04/23/12	17:00:00	3293	4216	672	923	0.218
04/23/12	17:05:00	3096	3968	672	872	0.219
04/23/12	17:10:00	3221	4221	672	1000	0.236
04/23/12	17:15:00	3099	4034	672	935	0.231
04/23/12	17:20:00	3376	4481	672	1105	0.246
04/23/12	17:25:00	3402	4870	672	1468	0.301
04/23/12	17:30:00	3463	4584	672	1121	0.244
04/23/12	17:35:00	3414	4758	672	1344	0.282
04/23/12	17:40:00	3571	5190	672	1619	0.311
04/23/12	17:45:00	3732	5445	672	1713	0.314
04/23/12	17:50:00	3467	4941	672	1474	0.298
04/23/12	17:55:00	3559	5169	672	1610	0.311
04/23/12	18:00:00	3593	5471	672	1878	0.343
04/23/12	18:05:00	3931	6081	672	2150	0.353
04/23/12	18:10:00	3596	5277	672	1681	0.318
04/23/12	18:15:00	3705	5594	672	1889	0.337
04/23/12	18:20:00	3747	5721	672	1974	0.345
04/23/12	18:25:00	3834	5685	672	1851	0.325
04/23/12	18:30:00	3642	5478	672	1836	0.335
04/23/12	18:35:00	3533	5175	672	1642	0.317
04/23/12	18:40:00	3688	5580	672	1892	0.339
04/23/12	18:45:00	3886	6138	672	2252	0.366
04/23/12	18:50:00	3695	5432	672	1737	0.319
04/23/12	18:55:00	3632	5597	672	1965	0.351
04/23/12	19:00:00	3646	5286	672	1640	0.310
04/23/12	19:05:00	3586	5831	672	2245	0.385
04/23/12	19:10:00	3919	5713	672	1794	0.314
04/23/12	19:15:00	4204	6109	672	1905	0.311
04/23/12	19:20:00	3904	5640	672	1736	0.307
04/23/12	19:25:00	3787	5598	672	1811	0.323
04/23/12	19:30:00	3919	5712	672	1793	0.313
04/23/12	19:35:00	4145	5744	672	1599	0.278
04/23/12	19:40:00	3864	5163	672	1299	0.251
04/23/12	19:45:00	4087	5625	672	1538	0.273
04/23/12	19:50:00	3916	5242	672	1326	0.252
04/23/12	19:55:00	4324	5711	672	1387	0.242
04/23/12	20:00:00	4154	5549	672	1395	0.251
04/23/12	20:05:00	4313	5771	672	1458	0.252
04/23/12	20:10:00	4032	5387	672	1355	0.251
04/23/12	20:15:00	4253	5773	672	1520	0.263
04/23/12	20:20:00	4384	5904	672	1520	0.257
04/23/12	20:25:00	4250	5678	672	1428	0.251
04/23/12	20:30:00	4243	5651	672	1408	0.249
04/23/12	20:35:00	4435	6016	672	1581	0.262
04/23/12	20:40:00	3755	4885	672	1130	0.231
04/23/12	20:45:00	4234	5653	672	1419	0.251
04/23/12	20:50:00	4104	5498	672	1394	0.253
04/23/12	20:55:00	4209	5610	672	1401	0.249
04/23/12	21:00:00	4222	5592	672	1370	0.244
04/23/12	21:05:00	4150	5431	672	1281	0.235
04/23/12	21:10:00	4282	5681	672	1399	0.246
04/23/12	21:15:00	4105	5442	672	1337	0.245
04/23/12	21:20:00	4208	5602	672	1394	0.248
04/23/12	21:25:00	3850	4943	672	1093	0.221
04/23/12	21:30:00	4202	5522	672	1320	0.239
04/23/12	21:35:00	4153	5453	672	1300	0.238
