SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalayzedForBatt2012,Notes
F-1354,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD,,148,44,Whole,NA,NA,NA,NA,-142.8,No,
F-1356,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,,93,8.7,Whole,NA,NA,NA,NA,-150.1,No,
F-1358,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,,49,1.4,Whole,NA,NA,NA,NA,-140.6,No,
F-1360,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD,,48,1.8,Whole,NA,NA,NA,NA,-142.8,No,
F-1364,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,,62,3.2,Whole,NA,NA,NA,NA,-151.8,No,
F-1366,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD,,53,1.9,Whole,NA,NA,NA,NA,-147.7,No,
F-1372,2012,Ward,All,B,NA,4,14-Aug-12,Fish,DAC,,45,0.9,Whole,NA,NA,NA,NA,-148,No,
F-1374,2012,Ward,All,B,NA,4,14-Aug-12,Fish,BHD,,52,1.8,Whole,NA,NA,NA,NA,-149.1,No,
F-1376,2012,Ward,All,B,NA,4,14-Aug-12,Fish,BHD,,130,29.7,Whole,NA,NA,NA,NA,-164.9,No,
F-1381,2012,Ward,All,B,NA,4,14-Aug-12,Fish,DAC,,NA,NA,Guts,NA,F-1380,NA,NA,-279.8,No,
F-1382,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,46,0.9,Whole,NA,NA,NA,NA,-155.2,No,
F-1384,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,51,1,Whole,NA,NA,NA,NA,-147.4,No,
F-1386,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,52,1.1,Whole,NA,NA,NA,NA,-173.7,No,
F-1388,2012,Ward,All,C,NA,4,14-Aug-12,Fish,DAC,,48,0.8,Whole,NA,NA,NA,NA,-165.5,No,
F-1390,2012,Ward,All,C,NA,4,14-Aug-12,Fish,BHD,,52,1.7,Whole,NA,NA,NA,NA,-146.8,No,
F-1392,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,83,5.9,Whole,NA,NA,NA,NA,-187.5,No,
F-1393,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,NA,NA,Guts,NA,F-1392,NA,NA,-237.1,No,
F-1394,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,85,6,Whole,NA,NA,NA,NA,-180.7,No,
F-1395,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,NA,NA,Guts,NA,F-1394,NA,NA,-200.6,No,
F-1400,2012,Ward,All,C,NA,4,14-Aug-12,Fish,PKS,,41,1,Whole,NA,NA,NA,NA,-160.4,No,
F-1402,2012,Ward,All,C,NA,4,14-Aug-12,Fish,BHD,,49,1.5,Whole,NA,NA,NA,NA,-152,No,
F-1406,2012,Ward,All,C,NA,4,14-Aug-12,Fish,DAC,,73,3.3,Whole,NA,NA,NA,NA,-179.8,No,
F-1416,2012,Ward,All,A,NA,4,15-Aug-12,Fish,PKS,,60,4.1,Whole,NA,NA,NA,NA,-178.3,No,
F-1422,2012,Ward,All,A,NA,4,16-Aug-12,Fish,PKS,,64,4.6,Whole,NA,NA,NA,NA,-181.4,No,
G-0702,2010,Ward,All,B,NA,1,26-May-10,Guts,FHM,,NA,NA,Guts,NA,NA,NA,NA,-199.6,No,
G-0714,2010,Ward,All,C,NA,1,26-May-10,Guts,FHM,,NA,NA,Guts,NA,NA,NA,NA,-227.7,No,
G-0717,2010,Ward,All,E,NA,1,26-May-10,Guts,FHM,,NA,NA,Guts,NA,NA,NA,NA,-216,No,
G-0761,2010,Ward,All,E,NA,2,24-Jun-10,Guts,FHM,,NA,NA,Guts,NA,NA,NA,NA,-190.4,No,
G-0801,2010,Ward,All,D,NA,4,18-Aug-10,Guts,YWP,,NA,NA,Guts,NA,NA,NA,NA,-218.6,No,
