lake,datetime,depth,fracLight
Ward,2010-08-11,4,0.006
Ward,2010-08-11,4.5,0.002
Ward,2010-08-11,5,0
Ward,2010-08-18,0,1
Ward,2010-08-18,0.25,0.683
Ward,2010-08-18,0.5,0.438
Ward,2010-08-18,0.75,0.316
Ward,2010-08-18,1,0.193
Ward,2010-08-18,1.5,0.11
Ward,2010-08-18,2,0.067
Ward,2010-08-18,2.5,0.041
Ward,2010-08-18,3,0.024
Ward,2010-08-18,3.5,0.012
Ward,2010-08-18,4,0.006
Ward,2010-08-18,4.5,0.002
Ward,2010-08-18,5,0
Ward,2010-08-18,5.5,0
Ward,2010-08-25,0,1
Ward,2010-08-25,0.25,0.662
Ward,2010-08-25,0.5,0.417
Ward,2010-08-25,0.75,0.248
Ward,2010-08-25,1,0.158
Ward,2010-08-25,1.5,0.082
Ward,2010-08-25,2,0.048
Ward,2010-08-25,2.5,0.028
Ward,2010-08-25,3,0.016
Ward,2010-08-25,3.5,0.008
Ward,2010-08-25,4,0.004
Ward,2010-08-25,4.5,0.001
Ward,2010-08-25,5,0
Ward,2010-08-25,5.5,0
Ward,2010-08-25,6,0
Ward,2012-04-14,0,1
Ward,2012-04-14,0.25,0.456
Ward,2012-04-14,0.5,0.232
Ward,2012-04-14,0.75,0.187
Ward,2012-04-14,1,0.081
Ward,2012-04-14,1.5,0.053
Ward,2012-04-14,2,0.021
Ward,2012-04-14,2.5,0.001
Ward,2012-04-14,3,0
Ward,2012-04-19,0,1
Ward,2012-04-19,0.25,0.659
Ward,2012-04-19,0.5,0.414
Ward,2012-04-19,0.75,0.269
Ward,2012-04-19,1,0.159
Ward,2012-04-19,1.5,0.022
Ward,2012-04-19,2,0.005
Ward,2012-04-19,2.5,0.016
Ward,2012-04-19,3,0.007
Ward,2012-04-19,3.5,0.003
Ward,2012-04-19,4,0.001
Ward,2012-04-19,4.5,0
Ward,2012-04-19,5,0
Ward,2012-04-26,0,1
Ward,2012-04-26,0.25,0.634
Ward,2012-04-26,0.5,0.209
Ward,2012-04-26,0.75,0.108
Ward,2012-04-26,1,0.055
Ward,2012-04-26,1.5,0.018
Ward,2012-04-26,2,0.007
Ward,2012-04-26,2.5,0.003
Ward,2012-04-26,3,0.001
Ward,2012-04-26,3.5,0
Ward,2012-05-03,0,1
Ward,2012-05-03,0.25,0.382
Ward,2012-05-03,0.5,0.218
Ward,2012-05-03,0.75,0.084
Ward,2012-05-03,1,0.04
Ward,2012-05-03,1.5,0.015
Ward,2012-05-03,2,0.005
Ward,2012-05-03,2.5,0.002
Ward,2012-05-03,3,0.001
Ward,2012-05-03,3.5,0
