"datetime" "do.obs" "do.sat" "wtr" "z.mix" "baro" "z1perc" "irr" "wnd" "top" "k600.cole" "k.gas"
2010-07-03 21:10:00 9.3710158758547 7.99108472930723 25.89 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.880565047361929
2010-07-03 21:15:00 9.40096901177897 7.98633218547512 25.94 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.881583688779363
2010-07-03 21:20:00 9.29111048463645 7.98065214519413 26 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.882807375030783
2010-07-03 21:25:00 9.14167425164655 7.96656147600064 26.15 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.839879909849646
2010-07-03 21:30:00 9.24092253816375 7.97876436699397 26.02 0.5 959.999989774093 3.8 1.2 1.88411417100871 0.5 0.648271863673885 0.795020381109948
2010-07-03 21:35:00 9.24045176437758 7.98254270611031 25.98 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.836586571167925
2010-07-03 21:40:00 9.27969536062059 7.99489934306776 25.85 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.879750843858162
2010-07-03 21:45:00 9.28845857023021 8.01705133760656 25.62 0.5 959.999989774093 3.8 1.2 2.5970222357147 0.5 0.758171564448111 0.921234435370751
2010-07-03 21:50:00 9.36898452927483 8.0035232086848 25.76 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.832340910816796
2010-07-03 21:55:00 9.25998257612577 7.97782152068048 26.03 0.5 959.999989774093 3.8 1.2 1.65496515021035 0.5 0.618304049294615 0.758444075177895
2010-07-03 22:00:00 8.89007781773477 7.97311770528973 26.08 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.884441224862154
2010-07-03 22:05:00 8.87993693850319 7.97311770528973 26.08 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.884441224862154
2010-07-03 22:10:00 8.86979605927161 7.97311770528973 26.08 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.838522464680071
2010-07-03 22:15:00 9.03875536286121 7.98823110862469 25.92 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.835426872422831
2010-07-03 22:20:00 8.72913653244722 7.97782152068048 26.03 0.5 959.999989774093 3.8 1.2 2.5970222357147 0.5 0.758171564448111 0.930012882302877
2010-07-03 22:25:00 8.76894807737675 7.97876436699397 26.02 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.883215592922072
2010-07-03 22:30:00 8.80875955622368 7.97970790840099 26.01 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.837166934417573
2010-07-03 22:35:00 8.70838231553533 7.98159707766622 25.99 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.882603326789513
2010-07-03 22:40:00 8.69824120567316 7.98159707766622 25.99 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.882603326789513
2010-07-03 22:45:00 8.74786176982649 7.98633218547512 25.94 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.881583688779363
2010-07-03 22:50:00 8.72776825226069 7.98538377020826 25.95 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.836006551318407
2010-07-03 22:55:00 8.94715110815984 7.99203733363676 25.88 0.5 959.999989774093 3.8 1.2 1.18393660745817 0.5 0.565555598251139 0.691338397215369
2010-07-03 23:00:00 8.72677005172203 7.99681084934993 25.83 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.879343976600499
2010-07-03 23:05:00 8.74691623633493 7.99108472930723 25.89 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.834847532056332
2010-07-03 23:10:00 8.69672693028167 7.99203733363676 25.88 0.5 959.999989774093 3.8 1.2 2.5970222357147 0.5 0.758171564448111 0.92679325569521
2010-07-03 23:15:00 8.9757224740614 8.00641046974814 25.73 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.877311955906327
2010-07-03 23:20:00 8.82611053611517 7.99585474601189 25.84 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.879547390765195
